ID_Organismou,Onoma_organismou,Syntomografia_organismou,T_K_organismou,Odos_organismou,Poli_organismou,Katigories_organismou
1,Onoma_organismou 1,On_org 1,81338,Logan,Tiwi,Ereynitika_Kentra_Proypologismos_Idiotikes_Draseis
2,Onoma_organismou 2,On_org 2,73038,Coolidge,Athens,Ereynitika_Kentra_Proypologismos_Ypoyrgeio
3,Onoma_organismou 3,On_org 3,13231,Sheridan,Tinampo,Panepistimio_Proypologismos_Apo_Ypoyrgeio
4,Onoma_organismou 4,On_org 4,30618,Schurz,Longtian,Panepistimio_Proypologismos_Apo_Ypoyrgeio
5,Onoma_organismou 5,On_org 5,21123,Judy,Pontang Tengah,Panepistimio_Proypologismos_Apo_Ypoyrgeio
6,Onoma_organismou 6,On_org 6,67899,Cherokee,Kim,Panepistimio_Proypologismos_Apo_Ypoyrgeio
7,Onoma_organismou 7,On_org 7,46647,Superior,Moijabana,Ereynitika_Kentra_Proypologismos_Idiotikes_Draseis
8,Onoma_organismou 8,On_org 8,32961,Butterfield,Sanxi,Ereynitika_Kentra_Proypologismos_Idiotikes_Draseis
9,Onoma_organismou 9,On_org 9,23414,Autumn Leaf,Faaa,Ereynitika_Kentra_Proypologismos_Idiotikes_Draseis
10,Onoma_organismou 10,On_org 10,89479,Delaware,Portland,Ereynitika_Kentra_Proypologismos_Idiotikes_Draseis
11,Onoma_organismou 11,On_org 11,69720,Debs,Varge Mondar,Ereynitika_Kentra_Proypologismos_Ypoyrgeio
12,Onoma_organismou 12,On_org 12,50761,Thierer,Binzhou,Ereynitika_Kentra_Proypologismos_Ypoyrgeio
13,Onoma_organismou 13,On_org 13,52933,Loeprich,Patapan,Ereynitika_Kentra_Proypologismos_Ypoyrgeio
14,Onoma_organismou 14,On_org 14,99862,Macpherson,Arta,Ereynitika_Kentra_Proypologismos_Ypoyrgeio
15,Onoma_organismou 15,On_org 15,93476,Surrey,Pompano Beach,Etairies_Idia_Kefalaia
16,Onoma_organismou 16,On_org 16,11986,Manley,Yuanda,Etairies_Idia_Kefalaia
17,Onoma_organismou 17,On_org 17,42279,Cherokee,Wierzchucino,Etairies_Idia_Kefalaia
18,Onoma_organismou 18,On_org 18,14397,Westerfield,Belyy Gorodok,Etairies_Idia_Kefalaia
19,Onoma_organismou 19,On_org 19,39112,Brickson Park,Cabo Frio,Etairies_Idia_Kefalaia
20,Onoma_organismou 20,On_org 20,58268,Lien,Higetegera,Etairies_Idia_Kefalaia
21,Onoma_organismou 21,On_org 21,88411,Stoughton,Neiba,Etairies_Idia_Kefalaia
22,Onoma_organismou 22,On_org 22,48208,Dixon,Taipingxu,Etairies_Idia_Kefalaia
23,Onoma_organismou 23,On_org 23,89526,Moland,Mabdarah,Etairies_Idia_Kefalaia
24,Onoma_organismou 24,On_org 24,29841,Oneill,Nechanice,Ereynitika_Kentra_Proypologismos_Ypoyrgeio
25,Onoma_organismou 25,On_org 25,23649,Chinook,Kisanga,Ereynitika_Kentra_Proypologismos_Ypoyrgeio
26,Onoma_organismou 26,On_org 26,75987,Anzinger,Chelyabinsk,Ereynitika_Kentra_Proypologismos_Ypoyrgeio
27,Onoma_organismou 27,On_org 27,77856,Evergreen,Sutukung,Ereynitika_Kentra_Proypologismos_Ypoyrgeio
28,Onoma_organismou 28,On_org 28,81557,Hanover,Sung Noen,Ereynitika_Kentra_Proypologismos_Ypoyrgeio
29,Onoma_organismou 29,On_org 29,52647,Jay,Fotol,Ereynitika_Kentra_Proypologismos_Ypoyrgeio
30,Onoma_organismou 30,On_org 30,75316,Lake View,Cavadas,Etairies_Idia_Kefalaia
31,Onoma_organismou 31,On_org 31,36917,Eggendart,Yongdeng Chengguanzhen,Etairies_Idia_Kefalaia
32,Onoma_organismou 32,On_org 32,83052,Morrow,Yongan,Etairies_Idia_Kefalaia
33,Onoma_organismou 33,On_org 33,43641,Corben,Puyo,Ereynitika_Kentra_Proypologismos_Ypoyrgeio
34,Onoma_organismou 34,On_org 34,55914,4th,Tintina,Ereynitika_Kentra_Proypologismos_Ypoyrgeio
35,Onoma_organismou 35,On_org 35,86498,Ramsey,Sobang,Ereynitika_Kentra_Proypologismos_Ypoyrgeio
36,Onoma_organismou 36,On_org 36,44770,Warner,Kawagoe,Ereynitika_Kentra_Proypologismos_Idiotikes_Draseis
37,Onoma_organismou 37,On_org 37,37749,Oakridge,Buarcos,Ereynitika_Kentra_Proypologismos_Idiotikes_Draseis
38,Onoma_organismou 38,On_org 38,79355,Kings,Atlantida,Ereynitika_Kentra_Proypologismos_Idiotikes_Draseis
39,Onoma_organismou 39,On_org 39,53570,Valley Edge,Inanwatan,Panepistimio_Proypologismos_Apo_Ypoyrgeio
40,Onoma_organismou 40,On_org 40,54327,Amoth,Shiling,Panepistimio_Proypologismos_Apo_Ypoyrgeio
